0	1	2	3	4	uc_smillie2020_imm	covid19_yoshida2022_airways	nslc_kim2020_old	nslc_kim2020	crc_zhang2020	siv_quinn2023	tb_alexandria_4wk	tb_alexandria_10wk	tb_alexandria_4bwk	ibd_predict	nslc_liu2022	covid19_grant2021	covid19_ren2021	nslc_guo2018	crc_zhang2018	nslc_lambrechts2018	ild_adams2020	ild_fabre2022	ild_habermann2019	tb_cai2022	ced_atalsy2022	crc_pelka2021
Immune cell	Lymphoid cell	B cell lineage	B cell	follicular B cell			B lymphocytes+B lymphocytes+Follicular B cells	Follicular B cells	hB03_FollicularB-IgD,hB04_FollicularB-MS4A1,hB01_PlasmaB-IgG											follicular B cells						
Immune cell	Lymphoid cell	B cell lineage	B cell	germinal center B cell					hB05_GCBCell-LRMP,																	cB2 (B GC-like)
Immune cell	Lymphoid cell	B cell lineage	Plasma cell		Plasma	Plasma IgL,Plasma IgK	B lymphocytes+B lymphocytes+Plasma cells	Plasma cells			plasma cell	Plasma				Plasma cells	B_c05-MZB1-XBP1,B_c06-MKI67			plasma B cells			Plasma Cells		Plasma cell IgA,Plasma cell IgM	cP2 (Plasma IgG),cP1 (Plasma IgA),cP3 (Plasma IgG prolif)
Immune cell	Lymphoid cell	T cell lineage			Cycling T	T cycling	T lymphocytes+T/NK cells+CD8+/CD4+ Mixed Th,T lymphocytes+nan+nan	T lymphocytes,CD8+/CD4+ Mixed Th		Proliferating T Cells	T cell	TT1T17Pop4,TT1T17Pop1,TStemLike,TT1T17Pop3,Tproliferating,TT1T17Pop2,TT1T17Pop4,T,Tinterferon,Tmetallothionein	T_Proliferating1,T1T17-like,T_Naive/CM-like,NK-like,T_M-like,ILC-like,Tregs,T_RM-like,T_EMRA-like,T_Proliferating2,Tc17-like,T_EX-like,IFN-responsiveTcells,T_EM,T_EM/EX-like,SRRM2^hiTcells					CD4.iNKT,CD4.MAIT			T,	TNKcell	Proliferating T Cells,T Cells		T cell lineage	cTNI20 (PLZF+ T),cTNI21 (PLZF+ T prolif)
Immune cell	Lymphoid cell	T cell lineage	CD4-positive helper T cell		CD4+ PD1+,CD4+ Activated Fos-hi,CD4+ Activated Fos-lo,MT-hi	T CD4 CCR4+	T lymphocytes+T/NK cells+CD4+ Th,NK cells+T/NK cells+CD4+ Th	CD4+ Th	hT04_CD4-TCF7,hT05_CD4-CXCR6,hT07_CD4-GZMK,hT06_CD4-CXCR5,hT11_CD4-CTLA4,hT02_CD4-ANXA1,hT03_CD4-GNLY,hT09_CD4-CXCL13,hT08_CD4-IL23R,hT01_CD4-CCR7,hT10_CD4-FOXP3	CD4+ T Cells				Effector|CD4,Th|Th0	CD4_C4-CD69,CD4_C5-ISG15,CD4_C6-RPL,CD4_C9-Prolif.,XCL1	CD4 prolif. T cells	T_CD4_c01-LEF1,T_CD4_c02-AQP3,T_CD4_c03-ITGA4,T_CD4_c04-ANXA2,T_CD4_c05-FOS,T_CD4_c06-NR4A2,T_CD4_c07-AHNAK,T_CD4_c08-GZMK-FOS_h,T_CD4_c09-GZMK-FOS_l,T_CD4_c10-IFNG,T_CD4_c11-GNLY,T_CD4_c12-FOXP3,T_CD4_c13-MKI67-CCL5_l,T_CD4_c14-MKI67-CCL5_h	CD4_C3-GNLY,CD4_C4-CD69,CD4_C5-EOMES,CD4_C6-GZMA,CD4_C7-CXCL13	CD4_C01-CCR7,CD4_C02-ANXA1,CD4_C03-GNLY,CD4_C04-TCF7,CD4_C05-CXCR6,CD4_C06-CXCR5,CD4_C07-GZMK,CD4_C08-IL23R,CD4_C10-FOXP3,CD4_C11-IL10,CD4_C12-CTLA4,CD4_C09-CXCL13	CD4+ T cells				CD4	CD4-positive helper T cell	cTNI05 (CD4+ IL17+),cTNI04 (CD4+ IL7R+CCL5+),cTNI02 (CD4+ IL7R+SELL+),cTNI03 (CD4+ IL7R+HSP+),cTNI01 (CD4+ IL7R+),cTNI07 (CD4+ CXCL13+)
Immune cell	Lymphoid cell	T cell lineage	CD4-positive helper T cell	naive T helper cell			NK cells+T/NK cells+Naive CD4+ T,T lymphocytes+T/NK cells+Naive CD4+ T	Naive CD4+ T						CD4Naive|CD4	CD4_C1-Naive	CD8 prolif. T cells		CD4_C1-CCR7								
Immune cell	Lymphoid cell	T cell lineage	CD4-positive helper T cell	T helper 1 cell										Th|Th1	CD4_C7-Th1-like											
Immune cell	Lymphoid cell	T cell lineage	CD4-positive helper T cell	T helper 2 cell																						
Immune cell	Lymphoid cell	T cell lineage	CD4-positive helper T cell	T helper 17 cell										Cycling|Th17.1,Th|Th17,Th|Th1.KLF2												
Immune cell	Lymphoid cell	T cell lineage	CD4-positive helper T cell	T helper 22 cell																						
Immune cell	Lymphoid cell	T cell lineage	CD4-positive helper T cell	CD4-positive, CD25-positive, alpha-beta regulatory T cell	Tregs		T lymphocytes+T/NK cells+Treg	Treg				Ttreg		Cycling|Treg,Treg|LAG3,Treg|LEF1,Treg|MIR155HG,Treg|FOXP3	CD4_C8-Treg	Treg		CD4_C8-FOXP3,CD4_C9-CTLA4		regulatory T cells	T_Regulatory_A,T_Regulatory_B					cTNI09 (CD4+ Treg prolif),cTNI08 (CD4+ Treg)
Immune cell	Lymphoid cell	T cell lineage	CD4-positive helper T cell	T helper 9 cell																						
